slice_id,stage,star_band,practice_area_bucket,state,firm_size_proxy,review_type,target_count,priority_weight,notes
phase1_1star_contact,phase1,1,any,any,any,low_star_contact_failure,7,5,"Primary low-star contact-failure target"
phase1_2star_expectation,phase1,2,any,any,any,low_star_expectation_break,5,5,"Primary 2-star expectation-break target"
phase1_mixed_4star,phase1,4,any,any,any,mixed_4_star,4,4,"Mixed 4-star reviews with one concrete governance complaint"
phase1_positive_outcome,phase1,any,any,any,any,explicit_positive_outcome,4,4,"Explicit positive outcome language stronger than gratitude"
phase1_positive_trust,phase1,any,any,any,any,explicit_positive_trust,4,4,"Explicit positive trust / professionalism stronger than generic praise"
phase1_long_form,phase1,any,any,any,any,long_form,8,3,"Longer narratives with multiple governance signals"
phase1_family_law,phase1,any,family_law,any,any,any,2,3,"Broaden beyond debt / bankruptcy-heavy expansion"
phase1_personal_injury,phase1,any,personal_injury,any,any,any,2,3,"Broaden practice mix"
phase1_disability,phase1,any,disability_ssi,any,any,any,2,3,"Broaden practice mix"
wave80_1star_contact,wave80,1,any,any,any,low_star_contact_failure,25,5,"Major low-star recall evidence bucket"
wave80_2star_expectation,wave80,2,any,any,any,low_star_expectation_break,20,5,"Major 2-star expectation evidence bucket"
wave80_mixed_4star,wave80,4,any,any,any,mixed_4_star,15,4,"Repeated 4-star mixed evidence"
wave80_positive_outcome,wave80,any,any,any,any,explicit_positive_outcome,15,4,"Explicit positive outcome evidence"
wave80_positive_trust,wave80,any,any,any,any,explicit_positive_trust,15,4,"Explicit positive trust evidence"
wave80_long_form,wave80,any,any,any,any,long_form,20,3,"Long-form coverage"
wave80_solo_small,wave80,any,any,any,solo_small_firm,any,20,3,"Prevent large-firm source bias"
wave80_regional,wave80,any,any,any,regional_firm,any,20,3,"Prevent single-firm-size bias"
wave160_1star_contact,wave160,1,any,any,any,low_star_contact_failure,45,5,"Scale low-star corpus"
wave160_2star_expectation,wave160,2,any,any,any,low_star_expectation_break,35,5,"Scale 2-star corpus"
wave160_mixed_4star,wave160,4,any,any,any,mixed_4_star,30,4,"Scale mixed 4-star corpus"
wave160_positive_outcome,wave160,any,any,any,any,explicit_positive_outcome,30,4,"Scale explicit positive outcomes"
wave160_positive_trust,wave160,any,any,any,any,explicit_positive_trust,30,4,"Scale explicit positive trust"
wave160_long_form,wave160,any,any,any,any,long_form,40,3,"Scale long-form narratives"
wave160_family_law,wave160,any,family_law,any,any,any,15,3,"Practice diversity"
wave160_personal_injury,wave160,any,personal_injury,any,any,any,15,3,"Practice diversity"
wave160_estate,wave160,any,estate_planning,any,any,any,15,3,"Practice diversity"
wave160_immigration,wave160,any,immigration,any,any,any,15,3,"Practice diversity"
